throughput,threads,uratio,lsize
5653.557224922669,12,50,100
401.8099547511312,12,50,1000
229.06062008329476,12,50,10000
564919.7439684884,1,75,100
59492.88168875798,1,75,1000
6093.996062992126,1,75,10000
142635.28831936917,2,75,100
14090.999010880318,2,75,1000
661.7719040626529,2,75,10000
26940.452755905513,3,75,100
9437.193326790972,3,75,1000
1448.5798237022527,3,75,10000
23798.65771812081,4,75,100
1000.0,4,75,1000
594.3442223305705,4,75,10000
23278.74396135266,5,75,100
313.1455399061033,5,75,1000
320.873786407767,5,75,10000
13974.927675988429,6,75,100
329.3095123128923,6,75,1000
263.90870185449353,6,75,10000
13928.070994862213,7,75,100
351.9658929417337,7,75,1000
233.175355450237,7,75,10000
38700.144161460834,8,75,100
294.46460980036295,8,75,1000
927.7456647398843,8,75,10000
45732.09936678032,9,75,100
716.9720347155256,9,75,1000
183.8709677419355,9,75,10000
1352.5011687704537,10,75,100
661.5236258437802,10,75,1000
420.13552758954506,10,75,10000
23011.347517730494,11,75,100
301.09489051094886,11,75,1000
326.87765706188003,11,75,10000
19276.43432906591,12,75,100
251.85508511567002,12,75,1000
211.1358574610245,12,75,10000
1039138.4236453203,1,100,100
69693.5960591133,1,100,1000
6252.970297029703,1,100,10000
261597.42828882296,2,100,100
25279.901960784315,2,100,1000
1330.8787432498773,2,100,10000
110601.56632403328,3,100,100
4502.196193265007,3,100,1000
1409.1131798138167,3,100,10000
35005.36585365854,4,100,100
626.0827718960539,4,100,1000
317.56756756756755,4,100,10000
2265.528686581318,5,100,100
554.3689320388349,5,100,1000
327.86116322701685,5,100,10000
19831.64005805515,6,100,100
337.9807692307692,6,100,1000
312.71145480908655,6,100,10000
11418.009478672986,7,100,100
1064.7030420086915,7,100,1000
313.2239382239382,7,100,10000
8025.0,8,100,100
947.2182596291012,8,100,1000
283.58925143953934,8,100,10000
14353.588516746413,9,100,100
598.4955336154209,9,100,1000
251.31641933939684,9,100,10000
7462.311557788945,10,100,100
390.30131826741996,10,100,1000
236.7674858223062,10,100,10000
11531.458531935177,11,100,100
512.0113047574187,11,100,1000
173.75231053604435,11,100,10000
15570.179475379658,12,100,100
