throughput,threads,uratio,lsize,,100,1000,10000,50,75,100
3852519.9802664,2,75,100,,#N/A,#N/A,#N/A,#N/A,3852519.9802664,#N/A
231965.925925926,2,75,1000,,,,,,,
15926.4490988797,2,75,10000,,,,,,,
4036074.05821918,3,75,100,,#N/A,#N/A,#N/A,#N/A,4036074.05821918,#N/A
363037.419990153,3,75,1000,,,,,,,
15500.7334963325,3,75,10000,,,,,,,
4517321.81638697,4,75,100,,#N/A,#N/A,#N/A,#N/A,4517321.81638697,#N/A
319660.626836435,4,75,1000,,,,,,,
21999.5152690257,4,75,10000,,,,,,,
3845651.12406328,5,75,100,,#N/A,#N/A,#N/A,#N/A,3845651.12406328,#N/A
287778.684589534,5,75,1000,,,,,,,
25448.8304093567,5,75,10000,,,,,,,
4554681.81818182,6,75,100,,#N/A,#N/A,#N/A,#N/A,4554681.81818182,#N/A
334423.300970874,6,75,1000,,,,,,,
24908.5095917364,6,75,10000,,,,,,,
4487652.38558909,7,75,100,,#N/A,#N/A,#N/A,#N/A,4487652.38558909,#N/A
300776.049033475,7,75,1000,,,,,,,
25141.1368015414,7,75,10000,,,,,,,
4582140.05876592,8,75,100,,#N/A,#N/A,#N/A,#N/A,4582140.05876592,#N/A
332578.922495274,8,75,1000,,,,,,,
25382.7751196172,8,75,10000,,,,,,,
4169778.34335956,9,75,100,,#N/A,#N/A,#N/A,#N/A,4169778.34335956,#N/A
355321.324245375,9,75,1000,,,,,,,
25539.9903053805,9,75,10000,,,,,,,
3748918.82404563,10,75,100,,#N/A,#N/A,#N/A,#N/A,3748918.82404563,#N/A
348433.269780744,10,75,1000,,,,,,,
25414.9397590361,10,75,10000,,,,,,,
3245571.20802779,11,75,100,,#N/A,#N/A,#N/A,#N/A,3245571.20802779,#N/A
356754.488112567,11,75,1000,,,,,,,
23995.2153110048,11,75,10000,,,,,,,
4366873.38748208,12,75,100,,#N/A,#N/A,#N/A,#N/A,4366873.38748208,#N/A
361187.201528176,12,75,1000,,,,,,,
25521.0401891253,12,75,10000,,,,,,,
2102565.6019656,1,100,100,,2102565.6019656,#N/A,#N/A,#N/A,#N/A,2102565.6019656
157488.954344624,1,100,1000,,#N/A,157488.954344624,#N/A,,,
8779.85257985258,1,100,10000,,#N/A,#N/A,8779.85257985258,,,
3727522.87260207,2,100,100,,3727522.87260207,#N/A,#N/A,#N/A,#N/A,3727522.87260207
263759.350393701,2,100,1000,,#N/A,263759.350393701,#N/A,,,
17310.3787506149,2,100,10000,,#N/A,#N/A,17310.3787506149,,,
3800506.04089219,3,100,100,,3800506.04089219,#N/A,#N/A,#N/A,#N/A,3800506.04089219
327395.555555556,3,100,1000,,#N/A,327395.555555556,#N/A,,,
26498.0276134122,3,100,10000,,#N/A,#N/A,26498.0276134122,,,
4984811.72991622,4,100,100,,4984811.72991622,#N/A,#N/A,#N/A,#N/A,4984811.72991622
395272.906403941,4,100,1000,,#N/A,395272.906403941,#N/A,,,
23009.2682926829,4,100,10000,,#N/A,#N/A,23009.2682926829,,,
4833782.84313726,5,100,100,,4833782.84313726,#N/A,#N/A,#N/A,#N/A,4833782.84313726
321476.704266797,5,100,1000,,#N/A,321476.704266797,#N/A,,,
26076.4676862358,5,100,10000,,#N/A,#N/A,26076.4676862358,,,
4794892.22440945,6,100,100,,4794892.22440945,#N/A,#N/A,#N/A,#N/A,4794892.22440945
366886.274509804,6,100,1000,,#N/A,366886.274509804,#N/A,,,
24270.680372002,6,100,10000,,#N/A,#N/A,24270.680372002,,,
4582833.57664234,7,100,100,,4582833.57664234,#N/A,#N/A,#N/A,#N/A,4582833.57664234
342911.035488576,7,100,1000,,#N/A,342911.035488576,#N/A,,,
25618.5866408519,7,100,10000,,#N/A,#N/A,25618.5866408519,,,
4108447.57281553,8,100,100,,4108447.57281553,#N/A,#N/A,#N/A,#N/A,4108447.57281553
354416.950803702,8,100,1000,,#N/A,354416.950803702,#N/A,,,
25308.8729016787,8,100,10000,,#N/A,#N/A,25308.8729016787,,,
4763032.38469087,9,100,100,,4763032.38469087,#N/A,#N/A,#N/A,#N/A,4763032.38469087
391730.917874396,9,100,1000,,#N/A,391730.917874396,#N/A,,,
25622.641509434,9,100,10000,,#N/A,#N/A,25622.641509434,,,
4333116.98482624,10,100,100,,4333116.98482624,#N/A,#N/A,#N/A,#N/A,4333116.98482624
388310.745401743,10,100,1000,,#N/A,388310.745401743,#N/A,,,
24718.8872620791,10,100,10000,,#N/A,#N/A,24718.8872620791,,,
4650479.58704834,11,100,100,,4650479.58704834,#N/A,#N/A,#N/A,#N/A,4650479.58704834
385827.042522695,11,100,1000,,#N/A,385827.042522695,#N/A,,,
24490.2506963788,11,100,10000,,#N/A,#N/A,24490.2506963788,,,
4656281.66986564,12,100,100,,4656281.66986564,#N/A,#N/A,#N/A,#N/A,4656281.66986564
371831.032841504,12,100,1000,,#N/A,371831.032841504,#N/A,,,
25016.2037037037,12,100,10000,,#N/A,#N/A,25016.2037037037,,,
